n	Δ	df	f	δ2	δ3	δ4	δ5	δ6	δ7	δ8	...
0	0	0	0								...
1	1	1	1	1							...
2	2	2	3	1	2						...
3	3	3	6	2	1	3					...
4	3	2	8	1	2	1	4				...
5	5	5	13	2	3	2	1	5			...
6	5	3	16	2	2	3	2	1	6		...
7	7	7	23	3	3	4	3	2	1	7	...
8	7	2	25	1	4	2	4	3	2	1	...
9	7	5	30	2	1	3	5	4	3	2	...
10	7	5	35	2	2	4	2	5	4	3	...
11	11	11	46	3	3	5	3	6	5	4	...
12	11	0	46	2	2	3	4	2	6	5	...
13	13	13	59	3	3	4	5	3	7	6	...
14	13	7	66	3	4	5	6	4	2	7	...
15	13	9	75	4	3	6	3	5	3	8	...
16	13	-1	74	1	4	1	4	6	4	2	...
17	17	17	91	2	5	2	5	7	5	3	...
18	17	0	91	2	2	3	6	3	6	4	...
19	19	19	110	3	3	4	7	4	7	5	...
20	19	2	112	2	4	2	4	5	8	6	...
21	19	13	125	3	3	3	5	6	3	7	...
22	19	11	136	3	4	4	6	7	4	8	...
23	23	23	159	4	5	5	7	8	5	9	...
24	23	-7	152	2	4	3	8	4	6	3	...
25	23	17	169	3	5	4	1	5	7	4	...
26	23	13	182	3	6	5	2	6	8	5	...
27	23	13	195	4	1	6	3	7	9	6	...
28	23	4	199	3	2	4	4	8	4	7	...
29	29	29	228	4	3	5	5	9	5	8	...
30	29	-5	223	4	2	6	2	5	6	9	...
31	31	31	254	5	3	7	3	6	7	10	...
32	31	-1	253	1	4	2	4	7	8	4	...
33	31	21	274	2	3	3	5	8	9	5	...
34	31	17	291	2	4	4	6	9	10	6	...
35	31	25	316	3	5	5	3	10	5	7	...
36	31	-19	297	2	2	3	4	1	6	8	...
37	37	37	334	3	3	4	5	2	7	9	...
38	37	19	353	3	4	5	6	3	8	10	...
39	37	25	378	4	3	6	7	4	9	11	...
40	37	-5	373	2	4	4	4	5	10	5	...
41	41	41	414	3	5	5	5	6	11	6	...
42	41	-5	409	3	4	6	6	2	6	7	...
43	43	43	452	4	5	7	7	3	7	8	...
44	43	8	460	3	6	5	8	4	8	9	...
45	43	15	475	4	3	6	5	5	9	10	...
46	43	23	498	4	4	7	6	6	10	11	...
47	47	47	545	5	5	8	7	7	11	12	...
48	47	-25	520	2	4	3	8	3	12	6	...
49	47	37	557	3	5	4	9	4	1	7	...
50	47	8	565	3	6	5	2	5	2	8	...
51	47	33	598	4	5	6	3	6	3	9	...
52	47	10	608	3	6	4	4	7	4	10	...
53	53	53	661	4	7	5	5	8	5	11	...
54	53	-9	652	4	2	6	6	4	6	12	...
55	53	41	693	5	3	7	3	5	7	13	...
56	53	-3	690	3	4	5	4	6	2	7	...
57	53	37	727	4	3	6	5	7	3	8	...
58	53	29	756	4	4	7	6	8	4	9	...
59	59	59	815	5	5	8	7	9	5	10	...
60	59	-38	777	4	4	6	4	5	6	11	...
61	61	61	838	5	5	7	5	6	7	12	...
62	61	31	869	5	6	8	6	7	8	13	...
63	61	25	894	6	3	9	7	8	3	14	...
64	61	-11	883	1	4	1	8	9	4	1	...
65	61	49	932	2	5	2	5	10	5	2	...
66	61	-5	927	2	4	3	6	6	6	3	...
67	67	67	994	3	5	4	7	7	7	4	...
68	67	14	1008	2	6	2	8	8	8	5	...
69	67	45	1053	3	5	3	9	9	9	6	...
70	67	3	1056	3	6	4	6	10	4	7	...
71	71	71	1127	4	7	5	7	11	5	8	...
72	71	-49	1078	2	4	3	8	2	6	2	...
73	73	73	1151	3	5	4	9	3	7	3	...
74	73	37	1188	3	6	5	10	4	8	4	...
75	73	27	1215	4	5	6	3	5	9	5	...
76	73	16	1231	3	6	4	4	6	10	6	...
77	73	61	1292	4	7	5	5	7	5	7	...
78	73	-5	1287	4	6	6	6	3	6	8	...
79	79	79	1366	5	7	7	7	4	7	9	...
80	79	-23	1343	2	8	2	4	5	8	3	...
81	79	31	1374	3	1	3	5	6	9	4	...
82	79	41	1415	3	2	4	6	7	10	5	...
83	83	83	1498	4	3	5	7	8	11	6	...
84	83	-46	1452	3	2	3	8	4	6	7	...
85	83	65	1517	4	3	4	5	5	7	8	...
86	83	43	1560	4	4	5	6	6	8	9	...
87	83	57	1617	5	3	6	7	7	9	10	...
88	83	1	1618	3	4	4	8	8	10	4	...
89	89	89	1707	4	5	5	9	9	11	5	...
90	89	-45	1662	4	2	6	6	5	12	6	...
91	89	73	1735	5	3	7	7	6	7	7	...
92	89	20	1755	4	4	5	8	7	8	8	...
93	89	61	1816	5	3	6	9	8	9	9	...
94	89	47	1863	5	4	7	10	9	10	10	...
95	89	73	1936	6	5	8	7	10	11	11	...
96	89	-56	1880	2	4	3	8	6	12	5	...
97	97	97	1977	3	5	4	9	7	13	6	...
98	97	24	2001	3	6	5	10	8	2	7	...
99	97	45	2046	4	3	6	11	9	3	8	...
100	97	-23	2023	3	4	4	4	10	4	9	...
101	101	101	2124	4	5	5	5	11	5	10	...
102	101	-5	2119	4	4	6	6	7	6	11	...
103	103	103	2222	5	5	7	7	8	7	12	...
104	103	3	2225	3	6	5	8	9	8	6	...
105	103	25	2250	4	5	6	5	10	3	7	...
106	103	53	2303	4	6	7	6	11	4	8	...
107	107	107	2410	5	7	8	7	12	5	9	...
108	107	-63	2347	4	2	6	8	3	6	10	...
109	109	109	2456	5	3	7	9	4	7	11	...
110	109	11	2467	5	4	8	6	5	8	12	...
111	109	73	2540	6	3	9	7	6	9	13	...
112	109	-21	2519	3	4	4	8	7	4	7	...
113	113	113	2632	4	5	5	9	8	5	8	...
114	113	-5	2627	4	4	6	10	4	6	9	...
115	113	89	2716	5	5	7	7	5	7	10	...
116	113	26	2742	4	6	5	8	6	8	11	...
117	113	55	2797	5	3	6	9	7	9	12	...
118	113	59	2856	5	4	7	10	8	10	13	...
119	113	97	2953	6	5	8	11	9	5	14	...
120	113	-107	2846	4	4	6	8	5	6	8	...
121	113	101	2947	5	5	7	9	6	7	9	...
122	113	61	3008	5	6	8	10	7	8	10	...
