n	Δ	df	f	δ2	δ3	δ4	δ5	δ6	δ7	δ8	δ9	δ10	δ11	δ12	δ13	δ14	δ15	δ16	δ17	δ18	δ19	δ20	δ21	δ22	δ23	δ24	δ25	δ26	δ27	δ28	δ29	δ30	δ31
0	0	0	0																														
1	1	1	1	1																													
2	2	3	2	1	2																												
3	3	6	3	2	1	3																											
4	2	8	3	1	2	1	4																										
5	5	13	5	2	3	2	1	5																									
6	3	16	5	2	2	3	2	1	6																								
7	7	23	7	3	3	4	3	2	1	7																							
8	2	25	7	1	4	2	4	3	2	1	8																						
9	5	30	7	2	1	3	5	4	3	2	1	9																					
10	5	35	7	2	2	4	2	5	4	3	2	1	10																				
11	11	46	11	3	3	5	3	6	5	4	3	2	1	11																			
12	0	46	11	2	2	3	4	2	6	5	4	3	2	1	12																		
13	13	59	13	3	3	4	5	3	7	6	5	4	3	2	1	13																	
14	7	66	13	3	4	5	6	4	2	7	6	5	4	3	2	1	14																
15	9	75	13	4	3	6	3	5	3	8	7	6	5	4	3	2	1	15															
16	-1	74	13	1	4	1	4	6	4	2	8	7	6	5	4	3	2	1	16														
17	17	91	17	2	5	2	5	7	5	3	9	8	7	6	5	4	3	2	1	17													
18	0	91	17	2	2	3	6	3	6	4	2	9	8	7	6	5	4	3	2	1	18												
19	19	110	19	3	3	4	7	4	7	5	3	10	9	8	7	6	5	4	3	2	1	19											
20	2	112	19	2	4	2	4	5	8	6	4	2	10	9	8	7	6	5	4	3	2	1	20										
21	13	125	19	3	3	3	5	6	3	7	5	3	11	10	9	8	7	6	5	4	3	2	1	21									
22	11	136	19	3	4	4	6	7	4	8	6	4	2	11	10	9	8	7	6	5	4	3	2	1	22								
23	23	159	23	4	5	5	7	8	5	9	7	5	3	12	11	10	9	8	7	6	5	4	3	2	1	23							
24	-7	152	23	2	4	3	8	4	6	3	8	6	4	2	12	11	10	9	8	7	6	5	4	3	2	1	24						
25	17	169	23	3	5	4	1	5	7	4	9	7	5	3	13	12	11	10	9	8	7	6	5	4	3	2	1	25					
26	13	182	23	3	6	5	2	6	8	5	10	8	6	4	2	13	12	11	10	9	8	7	6	5	4	3	2	1	26				
27	13	195	23	4	1	6	3	7	9	6	3	9	7	5	3	14	13	12	11	10	9	8	7	6	5	4	3	2	1	27			
28	4	199	23	3	2	4	4	8	4	7	4	10	8	6	4	2	14	13	12	11	10	9	8	7	6	5	4	3	2	1	28		
29	29	228	29	4	3	5	5	9	5	8	5	11	9	7	5	3	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	29	
30	-5	223	29	4	2	6	2	5	6	9	6	3	10	8	6	4	2	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	30
31	0	223	29	5	3	7	3	6	7	10	7	4	11	9	7	5	3	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
